IDs,final_classification,genebank_id,accession_id,start,stop,gene_description,socus,sig_seq,is_family,group,origin,bits_score,e_value,final_call
gene:plasmid:112083,plasmid,4225828,NC_008269.1,890917,892833,propionyl-CoA synthetase,RHA1_RS39780,ISPmi2,IS3,IS3,Proteus mirabilis,36.2,0.22,plasmid
gene:plasmid:112131,plasmid,4225876,NC_008269.1,932787,934373,,RHA1_RS39960,ISCARN42,IS701,,Metagenomic data,36.2,0.18,plasmid
gene:plasmid:112165,plasmid,4225910,NC_008269.1,966498,967424,iron-dependent extradiol dioxygenase,RHA1_RS40100,ISPye7,IS5,IS5,Paracoccus yeei,34.2,0.41,plasmid
gene:plasmid:114065,likely IS/TE,3776468,NC_007607.1,44972,45619,IS629 ORF2,SDY_P051,IS629,IS3,IS51,Shigella sonnei,1245,0,likely IS/TE
gene:plasmid:114080,likely IS/TE,3776483,NC_007607.1,22095,22964,IS3 ORF2,SDY_P027,IS3H,IS3,IS3,Shigella dysenteriae,1725,0,likely IS/TE
gene:plasmid:114081,likely IS/TE,3776484,NC_007607.1,23304,23576,iso-IS1 ORF1,SDY_P028,IS1H,IS1,,Escherichia coli,361,4.00E-100,likely IS/TE
gene:plasmid:114094,likely IS/TE,3776497,NC_007607.1,175252,175875,IS629 ORF2,SDY_P217,IS629,IS3,IS51,Shigella sonnei,1134,0,likely IS/TE
gene:plasmid:114095,likely IS/TE,3776498,NC_007607.1,176002,176232,hypothetical protein,SDY_P218,ISEc21,IS110,,Escherichia coli,287,4.00E-78,likely IS/TE
gene:plasmid:114096,plasmid,3776499,NC_007607.1,176277,176537,replication protein,SDY_P219,ISTer1,IS630,,Trichodesmium erythraeum,32.2,0.43,plasmid
gene:plasmid:114157,likely IS/TE,3776560,NC_007607.1,121227,122342,putative transposase,SDY_P156,ISEc13,IS4,IS50,Escherichia coli,1199,0,likely IS/TE
gene:plasmid:114171,likely IS/TE,3776574,NC_007607.1,62291,62740,ISSfl1 ORF1,SDY_P072,ISSfl7,IS5,IS427,Shigella flexneri,884,0,likely IS/TE
gene:plasmid:114173,plasmid,3776576,NC_007607.1,63346,63741,plasmid stable inheritance protein,SDY_P074,ISAzo3,ISAs1,,Azoarcus sp.,36.2,0.043,plasmid
gene:plasmid:114179,likely IS/TE,3776582,NC_007607.1,67697,67852,hypothetical protein,SDY_P080,ISEc48,IS3,IS2,Escherichia coli,69.9,1.00E-12,likely IS/TE
gene:plasmid:114180,likely IS/TE,3776583,NC_007607.1,68075,68293,"IS2 orf1, fragment",SDY_P081,ISEc48,IS3,IS2,Escherichia coli,246,1.00E-65,likely IS/TE
gene:plasmid:114182,plasmid,3776585,NC_007607.1,69342,69614,iso-IS1 ORF1,SDY_P083,IS1N,IS1,,Shigella dysenteriae,54,1.00E-07,plasmid
gene:plasmid:114186,plasmid,3776589,NC_007607.1,71196,71480,hypothetical protein,SDY_P087,ISNiba2,IS1202,ISTde1,Nitrospirae bacterium,32.2,0.48,plasmid
gene:plasmid:114191,plasmid,3776594,NC_007607.1,72513,73010,putative plasmid stable inheritance protein,SDY_P092,ISMeba1,IS1595,IS1016,Candidatus Melainabacteria,32.2,0.85,plasmid
gene:plasmid:114192,likely IS/TE,3776595,NC_007607.1,73770,74150,"putative IS orf, fragment",SDY_P093,ISEc49,IS66,,Escherichia coli,212,3.00E-55,likely IS/TE
gene:plasmid:114202,likely IS/TE,3776605,NC_007607.1,80793,82139,IS4 orf,SDY_P103,IS4,IS4,IS4,Escherichia coli,2599,0,likely IS/TE
gene:plasmid:114215,plasmid,3776618,NC_007607.1,106453,106713,replication protein,SDY_P136,IS1631,IS21,,Bradyrhizobium japonicum,30.2,1.7,plasmid
gene:plasmid:114229,plasmid,3776632,NC_007607.1,28702,29187,"putative transposase, fragment",SDY_P033,ISPansp2,IS1202,ISAba32,Pantoea sp.,32.2,0.83,plasmid
gene:plasmid:114230,plasmid,3776633,NC_007607.1,29476,30603,putative reverse transcriptase,SDY_P034,ISDph1,ISNCY,ISDol1,Desulfotignum phosphitoxidans,34.2,0.5,plasmid
gene:plasmid:114231,likely IS/TE,3776634,NC_007607.1,31383,32006,IS629 ORF2,SDY_P035,IS629,IS3,IS51,Shigella sonnei,1221,0,likely IS/TE
gene:plasmid:114244,likely IS/TE,3776647,NC_007607.1,43632,43934,IS600 ORF1,SDY_P048,ISSfl11,IS3,IS3,Shigella flexneri,585,2.00E-167,likely IS/TE
gene:plasmid:114245,likely IS/TE,3776648,NC_007607.1,46207,46536,putative transposase,SDY_P053,ISEc11,IS110,IS1111,Escherichia coli,466,1.00E-131,likely IS/TE
gene:plasmid:114251,likely IS/TE,3776654,NC_007607.1,52420,52548,"putative transposase, fragment",SDY_P059,ISEic2,IS256,,Edwardsiella ictaluri,170,3.00E-43,likely IS/TE
gene:plasmid:114252,likely IS/TE,3776655,NC_007607.1,52644,53222,putative transposase,SDY_P060,IS1414,IS256,,Escherichia coli,383,2.00E-106,likely IS/TE
gene:plasmid:114253,likely IS/TE,3776656,NC_007607.1,53207,53497,hypothetical protein,SDY_P061,ISEc13,IS4,IS50,Escherichia coli,392,1.00E-109,likely IS/TE
gene:plasmid:114254,likely IS/TE,3776657,NC_007607.1,54043,54933,IS629 ORF2,SDY_P062,IS629,IS3,IS51,Shigella sonnei,1711,0,likely IS/TE
gene:plasmid:114278,plasmid,3776681,NC_007607.1,102171,102731,conjugal transfer fertility inhibition protein FinO,SDY_P125,ISMex27,IS21,,Methylobacterium extorquens,34.2,0.24,plasmid
gene:plasmid:109674,plasmid,2847479,NC_005324.1,4200,4646,hypothetical protein,p9123p7,ISEsa1,IS1202,ISTde1,Enterobacter sakazakii,46.1,5.00E-05,plasmid
gene:plasmid:109675,plasmid,2847480,NC_005324.1,5143,5586,hypothetical protein,p9123p8,ISNph3,ISH6,,Natronomonas pharaonis,34.2,0.19,plasmid
gene:plasmid:114998,plasmid,4405778,NC_008503.1,10269,10511,hypothetical protein,LACR_A09,ISFac4,IS200/IS605,IS605,Ferroplasma acidarmanus,32.2,0.4,plasmid
gene:plasmid:115000,plasmid,4405780,NC_008503.1,12693,13661,relaxase/mobilization nuclease domain-containing protein,LACR_A11,ISBch1,IS1182,,Bacillus coahuilensis,34.2,0.43,plasmid
gene:plasmid:115003,likely IS/TE,4405783,NC_008503.1,4673,5353,transposase,LACR_A03,IS1216E,IS6,,Enterococcus faecium,1350,0,likely IS/TE
gene:plasmid:115005,plasmid,4405785,NC_008503.1,5959,6495,hypothetical protein,LACR_A05,ISHahy8,IS30,,Halanaerobium hydrogeniformans,36.2,0.059,plasmid
gene:plasmid:115006,plasmid,4405786,NC_008503.1,6488,7648,replication initiator protein,LACR_A06,ISDre4,IS1380,,Desulfotomaculum reducens,34.2,0.51,plasmid
gene:plasmid:115007,likely IS/TE,4405787,NC_008503.1,8400,9080,transposase,LACR_A07,IS1216E,IS6,,Enterococcus faecium,1350,0,likely IS/TE
gene:plasmid:110239,plasmid,3416008,NC_007068.1,573,1520,RepB,pBC1_01,ISSma27,IS66,,Serratia marcescens,38.2,0.027,plasmid
gene:plasmid:110240,plasmid,3416009,NC_007068.1,1999,2283,CopG-like,pBC1_03,ISBsa1,IS256,,Blastococcus saxobsidens,36.2,0.031,plasmid
gene:plasmid:110241,plasmid,3416010,NC_007068.1,1517,1807,OrfX,pBC1_02,ISPfr18,ISL3,,Propionibacterium freudenreichii,32.2,0.49,plasmid
gene:plasmid:109262,likely IS/TE,4118117,NC_008122.1,44803,45417,hypothetical protein,YPA_CD0053,IS1222,IS3,IS407,Enterobacter agglomerans,1055,0,likely IS/TE
gene:plasmid:109270,likely IS/TE,4118125,NC_008122.1,50933,53248,transposase,YPA_CD0061,ISEc63,Tn3,,Escherichia coli,1411,0,likely IS/TE
gene:plasmid:109282,likely IS/TE,4118137,NC_008122.1,66469,67116,hypothetical protein,YPA_CD0073,ISYpe1,IS3,IS407,Yersinia pestis,1102,0,likely IS/TE
gene:plasmid:115956,plasmid,4405942,NC_008500.1,64,384,hypothetical protein,STER_A1,ISPaac1,IS256,,Parachlamydia acanthamoebae,34.2,0.14,plasmid
gene:plasmid:115957,plasmid,4405943,NC_008500.1,1029,1610,DNA segregation ATPase FtsK/SpoIIIE or related protein,STER_A2,ISGla1,IS1595,IS1595,Paraglaciecola agarilytica,32.2,1,plasmid
gene:plasmid:115958,plasmid,4405944,NC_008500.1,2377,3483,transcriptional regulator,STER_A3,ISGva1,IS256,IS1249,Gardnerella vaginalis,36.2,0.12,plasmid
gene:plasmid:115959,plasmid,4405945,NC_008500.1,3608,4015,hypothetical protein,STER_A4,ISLbp4,IS4,IS50,Leptospira kirschneri,32.2,0.7,plasmid
gene:plasmid:115775,plasmid,4405921,NC_008502.1,16702,17556,amino acid ABC transporter periplasmic protein,LSEI_A12,ISCbe5,ISNCY,,Caldicellulosiruptor bescii,34.2,0.38,plasmid
gene:plasmid:115776,plasmid,4405922,NC_008502.1,18465,19925,hypothetical protein,LSEI_A13,ISLgar3,IS982,,Lactococcus garvieae,36.2,0.16,plasmid
gene:plasmid:115777,plasmid,4405923,NC_008502.1,22410,22880,transposase,LSEI_A14,ISAba15,IS5,IS1031,Acinetobacter baumannii,38.2,0.013,plasmid
gene:plasmid:115778,plasmid,4405924,NC_008502.1,23271,24332,hypothetical protein,LSEI_A15,ISBeg3,ISKra4,ISKra4,Beggiatoa sp.,34.2,0.47,plasmid
gene:plasmid:115779,plasmid,4405925,NC_008502.1,24835,25758,chromosome partitioning ATPase,LSEI_A16,ISMvi2,IS1202,ISAba32,Moritella viscosa,34.2,0.41,plasmid
gene:plasmid:115780,plasmid,4405926,NC_008502.1,25739,26017,PrgO-like protein for plasmid replication,LSEI_A17,ISAlw8,IS4,IS50,Acinetobacter lwoffii,32.2,0.47,plasmid
gene:plasmid:115781,plasmid,4405927,NC_008502.1,26414,26917,BS_yobM related protein,LSEI_A18,ISTco2,ISLre2,,Thermobacillus composti,36.2,0.055,plasmid
gene:plasmid:115782,plasmid,4405928,NC_008502.1,27250,27618,hypothetical protein,LSEI_A19,ISBf4,IS1182,,Bacteroides fragilis,32.2,0.63,plasmid
gene:plasmid:115783,plasmid,4405929,NC_008502.1,27694,28344,"site-specific recombinase, DNA invertase Pin related protein",LSEI_A20,ISEnfa7,IS1202,IS1202,Enterococcus faecalis,34.2,0.29,plasmid
gene:plasmid:115784,plasmid,4405930,NC_008502.1,348,2615,cation transport ATPase,LSEI_A01,ISRjo3,ISNCY,ISDol1,Rhodococcus jostii,36.2,0.26,plasmid
gene:plasmid:115785,plasmid,4405931,NC_008502.1,2866,3297,transcriptional regulator,LSEI_A02,ISPsy41,IS21,,Pseudomonas syringae,36.2,0.047,plasmid
gene:plasmid:115786,plasmid,4405932,NC_008502.1,4555,5004,transposase,LSEI_A03,ISAba15,IS5,IS1031,Acinetobacter baumannii,38.2,0.012,plasmid
gene:plasmid:115787,plasmid,4405933,NC_008502.1,5945,7369,6-phospho-beta-galactosidase,LSEI_A04,ISCaje3,IS607,,Campylobacter sp.,34.2,0.63,plasmid
gene:plasmid:115788,plasmid,4405934,NC_008502.1,7396,9129,cellobiose-specific PTS system IIC component,LSEI_A05,ISGur14,IS701,,Geobacter uraniumreducens,36.2,0.19,plasmid
gene:plasmid:115789,plasmid,4405935,NC_008502.1,9250,10128,beta-glucoside operon antiterminator,LSEI_A06,ISMha6,IS1595,IS1016,Mannheimia haemolytica,36.2,0.098,plasmid
gene:plasmid:115790,plasmid,4405936,NC_008502.1,10782,11252,transposase,LSEI_A07,ISAba15,IS5,IS1031,Acinetobacter baumannii,38.2,0.013,plasmid
gene:plasmid:115791,plasmid,4405937,NC_008502.1,12153,12842,"acetoin/pyruvate dehydrogenase complex, E3 component, dihydrolipoamide dehydrogenase",LSEI_A08,IS1253B,IS200/IS605,IS605,Dichelobacter nodosus,32.2,1.2,plasmid
gene:plasmid:115792,plasmid,4405938,NC_008502.1,12892,13575,transposase,LSEI_A09,IS240F,IS6,,Bacillus thuringiensis,40.1,0.005,plasmid
gene:plasmid:115793,plasmid,4405939,NC_008502.1,15259,15948,"ABC-type amino acid transport system, permease component",LSEI_A10,ISLesp5,IS5,IS903,Leptolyngbya sp.,34.2,0.3,plasmid
gene:plasmid:115794,plasmid,4405940,NC_008502.1,15941,16681,"ABC-type polar amino acid transport system, ATPase component",LSEI_A11,ISArch22,IS5,IS903,Uncultured archeon,32.2,1.3,plasmid
gene:plasmid:116565,plasmid,3894946,NC_007763.1,172969,175107,methylmalonyl-CoA mutase,RHE_PB00157,ISVbsp4,IS1202,ISTde1,Vibrio sp.,36.2,0.24,plasmid
gene:plasmid:116667,plasmid,3895048,NC_007763.1,140102,141499,DszA family monooxygenase,RHE_PB00125,ISPman1,IS21,,Pseudomonas mandelii,36.2,0.16,plasmid
gene:plasmid:112739,likely IS/TE,3722456,NC_005248.1,33,3080,transposase,pIGAL1_01,Tn3,Tn3,,Salmonella enterica,5963,0,likely IS/TE
gene:plasmid:109300,plasmid,4397526,NC_008490.1,2835,3368,outer membrane lipoprotein Blc,pMG8285_03,ISBuhy1,IS1202,ISAba32,Burkholderia hypogeia,32.2,0.92,plasmid
gene:plasmid:109301,plasmid,4397527,NC_008490.1,3457,4599,beta-lactamase,pMG8285_04,ISKpn85,IS200/IS605,IS605,Klebsiella pneumoniae,34.2,0.51,plasmid
gene:plasmid:112749,likely IS/TE,3617422,NC_007352.1,9068,9742,IS6-like element IS257 family transposase,SSP_RS12525,IS431mec,IS6,,Staphylococcus aureus,1330,0,likely IS/TE
gene:plasmid:112752,likely IS/TE,3617425,NC_007352.1,11907,12581,IS6-like element IS257 family transposase,SSP_RS12545,IS431mec,IS6,,Staphylococcus aureus,1330,0,likely IS/TE
gene:plasmid:112754,plasmid,3617427,NC_007352.1,12641,12835,,SSP_RS12550,ISSod9,Tn3,,Shewanella oneidensis,42.1,3.00E-04,plasmid
gene:plasmid:112765,plasmid,3617438,NC_007352.1,1542,2228,DUF536 domain-containing protein,SSP_RS12490,ISCsa8,IS1634,,Caldicellulosiruptor saccharolyticus,38.2,0.019,plasmid
gene:plasmid:112769,plasmid,3617442,NC_007352.1,5870,6460,type 1 glutamine amidotransferase family protein,SSP_RS12510,ISTca1,ISNCY,ISDol1,Tolypothrix campylonemoides,40.1,0.004,plasmid
gene:plasmid:111041,plasmid,4083181,NC_008052.1,2872,4380,mobilization protein,pCJ1170_03,ISBth167,IS3,IS150,Bacillus thuringiensis,38.2,0.043,plasmid
gene:plasmid:111042,plasmid,4083182,NC_008052.1,164,253,RepA,pCJ1170_01,ISMhu6,IS4,ISH8,Methanospirillum hungatei,30.2,0.53,plasmid
gene:plasmid:109050,plasmid,4549306,NC_008613.1,57992,58243,hypothetical protein,P91278ORF_068,ISArsp6,Tn3,,Arthrobacter sp.,34.2,0.11,plasmid
gene:plasmid:109054,plasmid,4549310,NC_008613.1,60994,62025,DNA recombination protein,P91278ORF_072,ISAzo13,ISAzo13,,Azoarcus sp.,34.2,0.46,plasmid
gene:plasmid:109060,plasmid,4549316,NC_008613.1,67748,68248,hypothetical protein,P91278ORF_078,ISPsy37,IS3,IS3,Pseudomonas syringae,34.2,0.22,plasmid
gene:plasmid:109061,plasmid,4549317,NC_008613.1,68283,69206,DNA modification methylase,P91278ORF_079,ISNma19,IS200/IS605,IS1341,Natrialba magadii,32.2,1.6,plasmid
gene:plasmid:109062,plasmid,4549318,NC_008613.1,69272,69496,Fdx protein,P91278ORF_080,ISNvsp1,IS1202,ISAba32,Noviherbaspirillum sp.,32.2,0.37,plasmid
gene:plasmid:109065,plasmid,4549321,NC_008613.1,70370,70669,hypothetical protein,P91278ORF_083,ISMahy3,IS1182,,Marinobacter hydrocarbonoclasticus,34.2,0.13,plasmid
gene:plasmid:109066,plasmid,4549322,NC_008613.1,70727,70918,hypothetical protein,P91278ORF_084,ISLar7,ISNCY,ISDol1,Lentisphaera araneosa,30.2,1.2,plasmid
gene:plasmid:109071,plasmid,4549327,NC_008613.1,74020,74451,hypothetical protein,P91278ORF_089,ISAlw14,IS5,ISL2,Acinetobacter lwoffii,30.2,2.9,plasmid
gene:plasmid:109090,plasmid,4549346,NC_008613.1,91583,92035,hypothetical protein,P91278ORF_108,ISPpu35,IS3,IS51,Pseudomonas putida,32.2,0.78,plasmid
gene:plasmid:109093,plasmid,4549349,NC_008613.1,93495,94031,hypothetical protein,P91278ORF_111,ISKpn66,ISL3,,Klebsiella pneumoniae,30.2,3.7,plasmid
gene:plasmid:109095,plasmid,4549351,NC_008613.1,95049,95918,"exonuclease, Ycg4D",P91278ORF_113,ISSpu12,IS4,IS50,Shewanella putrefaciens,40.1,0.006,plasmid
gene:plasmid:109096,plasmid,4549352,NC_008613.1,95915,96406,hypothetical protein,P91278ORF_114,TnXax1,Tn3,,Xanthomonas axonopodis,34.2,0.21,plasmid
gene:plasmid:109097,plasmid,4549353,NC_008613.1,96733,97608,DNA replication terminus site-binding protein,P91278ORF_115,ISPye14,IS66,,Paracoccus yeei,32.2,1.5,plasmid
gene:plasmid:109098,plasmid,4549354,NC_008613.1,97761,98801,KfrA protein,P91278ORF_116,ISOba3,IS1,ISMhu11,Oceanicola batsensis,36.2,0.12,plasmid
gene:plasmid:109099,plasmid,4549355,NC_008613.1,98801,99079,hypothetical protein,P91278ORF_117,ISLisp1,IS21,,Limnohabitans sp.,30.2,1.8,plasmid
gene:plasmid:109101,plasmid,4549357,NC_008613.1,100710,101750,hypothetical protein,P91278ORF_119,ISSma20,IS91,,Serratia marcescens,34.2,0.46,plasmid
gene:plasmid:109102,plasmid,4549358,NC_008613.1,101752,103185,putative pilus assembly protein,P91278ORF_120,ISRssp2,IS1595,ISNha5,Roseovarius sp.,36.2,0.16,plasmid
gene:plasmid:109103,plasmid,4549359,NC_008613.1,103198,106812,putative pilus assembly protein,P91278ORF_121,ISCef8,IS5,IS427,Corynebacterium efficiens,40.1,0.026,plasmid
gene:plasmid:109106,plasmid,4549362,NC_008613.1,108200,108733,hypothetical protein,P91278ORF_124,ISBuce1,IS1182,,Burkholderia cepacia,36.2,0.059,plasmid
gene:plasmid:109107,plasmid,4549363,NC_008613.1,108744,109352,hypothetical protein,P91278ORF_125,ISKpn21,IS1202,ISAba32,Klebsiella pneumoniae,32.2,1.1,plasmid
gene:plasmid:109108,plasmid,4549364,NC_008613.1,109349,109900,putative regulator protein,P91278ORF_126,ISAba58,IS256,,Acinetobacter baumannii,34.2,0.24,plasmid
gene:plasmid:109109,plasmid,4549365,NC_008613.1,109960,110379,"DNA binding protein, H-NS-like'",P91278ORF_127,ISAbe14,ISL3,,Acinetobacter bereziniae,32.2,0.72,plasmid
gene:plasmid:109110,plasmid,4549366,NC_008613.1,110381,110674,hypothetical protein,P91278ORF_128,ISCaje5,IS1595,ISPna2,Campylobacter jejuni,32.2,0.49,plasmid
gene:plasmid:109111,plasmid,4549367,NC_008613.1,110691,111674,hypothetical protein,P91278ORF_129,ISCARN81,IS3,IS3,Metagenomic data,34.2,0.43,plasmid
gene:plasmid:109112,plasmid,4549368,NC_008613.1,112173,112712,hypothetical protein,P91278ORF_130,IS1016V3,IS1595,IS1016,Haemophilus influenzae,36.2,0.06,plasmid
gene:plasmid:109113,plasmid,4549369,NC_008613.1,112717,113004,hypothetical protein,P91278ORF_131,ISAur1,IS1595,ISPna2,Actinobacillus ureae,34.2,0.12,plasmid
gene:plasmid:109114,plasmid,4549370,NC_008613.1,112989,114089,hypothetical protein,P91278ORF_132,ISArsp6,Tn3,,Arthrobacter sp.,36.2,0.12,plasmid
gene:plasmid:109115,plasmid,4549371,NC_008613.1,115126,115560,hypothetical protein,P91278ORF_133,ISArch16,ISAzo13,,Uncultured archaeon,32.2,0.74,plasmid
gene:plasmid:109116,plasmid,4549372,NC_008613.1,115578,116693,phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase,P91278ORF_134,ISMsm10,IS1380,,Mycobacterium smegmatis,34.2,0.49,plasmid
gene:plasmid:109117,plasmid,4549373,NC_008613.1,117109,117570,hypothetical protein,P91278ORF_135,ISBli27,ISAs1,,Brevibacterium linens,34.2,0.2,plasmid
gene:plasmid:109118,plasmid,4549374,NC_008613.1,117575,118096,hypothetical protein,P91278ORF_136,ISHaha5,IS110,,Halobacillus halophilus,32.2,0.9,plasmid
gene:plasmid:109119,plasmid,4549375,NC_008613.1,118099,118620,hypothetical protein,P91278ORF_137,ISEcret5,IS630,,Endozoicomonas endosymbiont,32.2,0.9,plasmid
gene:plasmid:109121,plasmid,4549377,NC_008613.1,119201,119494,hypothetical protein,P91278ORF_139,ISVlu1,ISL3,,Vagococcus lutrae,30.2,1.9,plasmid
gene:plasmid:109126,plasmid,4549382,NC_008613.1,122707,123066,hypothetical protein,P91278ORF_144,ISAzs6,IS701,,Azospirillum sp.,32.2,0.61,plasmid
gene:plasmid:109127,plasmid,4549383,NC_008613.1,123066,123512,hypothetical protein,P91278ORF_145,ISAbe14,ISL3,,Acinetobacter bereziniae,32.2,0.76,plasmid
gene:plasmid:109131,likely IS/TE,4549495,NC_008613.1,768,1424,tetracycline repressor protein TetR,P91278ORF_002,IS15DIV,IS6,,Salmonella typhimurium,105,9.00E-23,likely IS/TE
gene:plasmid:109133,plasmid,4549497,NC_008613.1,2799,3908,putative alcohol dehydrogenase class III,P91278ORF_004,ISCaq1,IS5,IS903,Comamonas aquatica,34.2,0.49,plasmid
gene:plasmid:109134,plasmid,4549498,NC_008613.1,3930,4364,esterase,P91278ORF_005,IS15DII,IS6,,Salmonella panama,38.2,0.012,plasmid
gene:plasmid:109136,plasmid,4549500,NC_008613.1,5149,5346,ArsR family transcriptional regulator,P91278ORF_007,IS15DIV,IS6,,Salmonella typhimurium,36.2,0.021,plasmid
gene:plasmid:109140,plasmid,4549504,NC_008613.1,6787,7524,resolvase,P91278ORF_011,ISPa40,Tn3,,Pseudomonas aeruginosa,36.2,0.082,plasmid
gene:plasmid:109141,plasmid,4549505,NC_008613.1,7521,7745,hypothetical protein,P91278ORF_012,ISAli15,IS66,,Azospirillum lipoferum,34.2,0.094,plasmid
gene:plasmid:109149,plasmid,4549513,NC_008613.1,13148,13459,hypothetical protein,P91278ORF_020,ISAar38,IS5,IS427,Arthrobacter arilaitensis,32.2,0.52,plasmid
gene:plasmid:109153,plasmid,4549517,NC_008613.1,15977,16645,hypothetical protein,P91278ORF_024,ISClhy1,IS1182,,Clostridium hylemonae,32.2,1.2,plasmid
gene:plasmid:109156,plasmid,4549520,NC_008613.1,17506,17817,hypothetical protein,P91278ORF_027,ISAcp5,IS110,IS1111,Acidobacterium capsulatum,32.2,0.52,plasmid
gene:plasmid:109159,plasmid,4549523,NC_008613.1,18950,19282,hypothetical protein,P91278ORF_030,ISArsp10,IS1380,,Arthrobacter sp.,34.2,0.14,plasmid
gene:plasmid:109169,plasmid,4549533,NC_008613.1,26311,26472,hypothetical protein,P91278ORF_040,IS1549,IS1634,,Mycobacterium smegmatis,30.2,1,plasmid
gene:plasmid:109177,plasmid,4549541,NC_008613.1,34175,34837,hypothetical protein,P91278ORF_048,ISCARN102,IS630,,Metagenomic data,32.2,1.1,plasmid
gene:plasmid:109196,plasmid,4549560,NC_008613.1,125127,125315,hypothetical protein,P91278ORF_149,ISRso22,IS1595,ISPna2,Ralstonia solanacearum,30.2,1.2,plasmid
gene:plasmid:109197,plasmid,4549561,NC_008613.1,125332,125859,micrococcal nuclease,P91278ORF_150,ISHne3,IS110,,Hyphomonas neptunium,36.2,0.058,plasmid
gene:plasmid:109198,plasmid,4549567,NC_008613.1,125917,126189,"DNA-binding protein HU-beta, NS1 (HU-1)",P91278ORF_151,ISAlw19,IS982,,Acinetobacter lwoffii,34.2,0.12,plasmid
gene:plasmid:109199,plasmid,4549568,NC_008613.1,126277,126570,putative plasmid-related protein,P91278ORF_152,ISAdh1,IS66,,Aeromonas dhakensis,32.2,0.49,plasmid
gene:plasmid:109200,plasmid,4549569,NC_008613.1,126597,126899,Cro-like protein,P91278ORF_153,TnDra1,Tn3,,Deinococcus radiodurans,34.2,0.13,plasmid
gene:plasmid:109201,plasmid,4549570,NC_008613.1,126904,127254,hypothetical protein,P91278ORF_154,ISVsp15,ISL3,,Verrucomicrobium spinosum,34.2,0.15,plasmid
gene:plasmid:109203,plasmid,4549572,NC_008613.1,128306,128500,hypothetical protein,P91278ORF_156,ISNaoc1,IS200/IS605,IS1341,Natronococcus occultus,34.2,0.081,plasmid
gene:plasmid:109204,plasmid,4549573,NC_008613.1,128511,128882,hypothetical protein,P91278ORF_157,ISAzs17,Tn3,,Azospirillum sp.,34.2,0.16,plasmid
gene:plasmid:109205,plasmid,4549574,NC_008613.1,128866,129345,hypothetical protein,P91278ORF_158,ISCfr13,IS110,,Citrobacter freundii,30.2,3.3,plasmid
gene:plasmid:109898,plasmid,4610425,NC_008703.1,215368,217716,heavy metal translocating P-type ATPase,Mkms_5704,ISAcba1,IS1595,ISSod11,Actinobacteria bacterium,50.1,2.00E-05,plasmid
gene:plasmid:115258,plasmid,4787529,NC_008826.1,451188,451505,putative carboxysome structural-like protein,Mpe_B0501,ISAnsp5,IS21,,Anaeromyxobacter sp.,40.1,0.002,plasmid
gene:plasmid:115548,plasmid,4787819,NC_008826.1,192259,193932,CTP synthetase,Mpe_B0218,ISAcp3,IS5,IS427,Acidobacterium capsulatum,34.2,0.74,plasmid
gene:plasmid:115640,plasmid,4787911,NC_008826.1,246726,246802,tRNA,Mpe_BR0016,ISStvi1,ISAzo13,,Streptomyces violaceusniger,32.2,0.11,plasmid
gene:plasmid:115699,plasmid,4787970,NC_008826.1,290226,291578,hypothetical protein,Mpe_B0342,ISHoc2,ISKra4,ISKra4,Haliangium ochraceum,36.2,0.15,plasmid
gene:plasmid:114423,plasmid,4796506,NC_009007.1,10827,11717,glucose-1-phosphate thymidylyltransferase RfbA,RSP_RS21475,ISSme3,IS66,,Sinorhizobium medicae,34.2,0.39,plasmid
